Project title,Project objectives / purpose,Start Date,End Date,NDP Pillar,Primary Sector,Links to other Sector,Reporting Agency,Funders,Implementers,Implementer Category,Project Value (USD),2015 Disbursements (USD),2016 Disbursements (USD),2017 Disbursements (USD),Sum 2015-17,Links to project webpages or documents,Gender,Capacity building,Stabilization,FGS,Benadir,Galmudug,Hiiraan & Middle Shabelle,Jubaland,Puntland,South West,Somaliland,Unattributed,FGS - 2015,Benadir - 2015,Galmudug - 2015,Hiiraan & Middle Shabelle - 2015,Jubaland - 2015,Puntland - 2015,South West - 2015,Somaliland - 2015,Unattributed - 2015,FGS - 2016,Benadir - 2016,Galmudug - 2016,Hiiraan & Middle Shabelle - 2016,Jubaland - 2016,Puntland - 2016,South West - 2016,Somaliland - 2016,Unattributed - 2016,FGS - 2017,Benadir - 2017,Galmudug - 2017,Hiiraan & Middle Shabelle - 2017,Jubaland - 2017,Puntland - 2017,South West - 2017,Somaliland - 2017,Unattributed - 2017
Stabilization Support Unit,"Support to the stabilization support unit, office of the Prime Minister",Nov-13,Jul-15,"1. Peace, security, and rule of law",Security,,PSG 2 Working Group,"Multi  Partner UK, Sweden, Denmark, EU, Netherlands and Norway",OPM - SSU,Government,389040,159750,389040,0,548790,,,,,1,,,0,,,,,,159750,0,0,0,0,0,0,0,0,389040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Security Architecture (FGSD/Regional),,Jan-16,Dec-16,"1. Peace, security, and rule of law",Security,NSA,PSG 2 - Round 2,Denmark,,Unclear / TBD,180000,0,180000,0,180000,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000,0,0,0,0,0,0,0,0,0
Security Sector Payroll Reform,"To develop a reformed payroll process that can regularly deliver salaries to personnel from the SNA and SPF with robust fiduciary controls to ensure enhanced transparency, accountability and civilian oversight of financial flows to the security sector.",Apr-16,Mar-16,"1. Peace, security, and rule of law",Security,NSA,PSG 2 - Round 2,EU,tbc,Unclear / TBD,340000,0,0,340000,340000,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340000,0,0,0,0,0,0,0,0
Support to the Federal Government of Somalia to Establish a secure Environment for Female Disengaged Combatants in Bay and Bakool Regions,To support the Federal Government of Somalia in the protection of female disengaged combatants in line with the National Programme.,Aug-15,Apr-16,"1. Peace, security, and rule of law",Security,,IOM,United Nations Assistance Mission in Somalia (UNSOM),IOM and Rural Education and Agriculture Development Organisation (READO) (on the reintegration component),UN & NGOs,302802,168223,134579,0,302802,,Principal,Principal,Principal,,,,,,,1,,,0,0,0,0,0,0,168223,0,0,0,0,0,0,0,0,134579,0,0,0,0,0,0,0,0,0,0,0
Supporting Civil Service enhancement in Somali Ministry of Defence,To support the gradual civilian democratic control of the Somali Armed Forces through the medium of a properly constituted and adequately resourced Ministry of Defence (MoD). This is to be accomplished by providing expertise to the MoD in order for the Ministry to recruit additional civilian personnel into the four key divisions,Aug-15,Oct-16,"1. Peace, security, and rule of law",Security,Security,EU,EU,GEOTEST BRNO AS,NGOs,272126,117415,122595,0,240010,,Not Targeted,Significant,Not Targeted,1,,,,,,,,,117415.0667,0,0,0,0,0,0,0,0,122595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constitutional Project & Security Architecture (FGS/Regional) - 2015,,May-16,Sep-16,"1. Peace, security, and rule of law",Security,NSA,PSG 2 - Round 2,UN SSR inter-Agency Trust Fund,,Unclear / TBD,400000,0,400000,0,400000,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,0,0,0,0,0,0,0,0,0
Safety and disarmament on local level,,Jan-12,Dec-16,"1. Peace, security, and rule of law",Security,,Netherlands,Netherlands,DDG/DRC,NGOs,2777778,1388889,1388889,0,2777778,,Significant,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,1388889,0,0,0,0,0,0,0,0,1388889,0,0,0,0,0,0,0,0,0
DRC/DDG COMMUNITY DRIVEN RECOVERY & SAFETY,Community safety and stabilization        ,Nov-14,Oct-16,"1. Peace, security, and rule of law",Security,Stabilization ,Sweden,"Sweden, ",Danish Refugee Council (DRC) and Danish Demining Group (DDG),NGOs,5357143,0,1190476,1190476,2380952,,Significant,Not targeted,Significant,,,,,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190476,0,0,0,0,0,0,0,0,1190476
Somali Core Economic Institutions and Opportunities Program,Promote jobs and enterprise creation in Somalia,Oct-15,Apr-19,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,PFM & Revenue,WB,"MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK, USAID) ","Government counterparts, Private Sector",Government & Private Sector,28500000,144142,3306627,7500000,10950769,http://http://somaliampf.org,Significant,Significant,Not targeted,0.33,0.0625,0.0625,0.0625,0.0625,0.14,0.06,0.22,,47566.86,9009,9009,9009,9009,20180,8649,31711,0,1091187,206664,206664,206664,206664,462928,198398,727458,0,2475000,468750,468750,468750,468750,1050000,450000,1650000,0
Promoting Inclusive Markets in Somalia (PIMS),"Develop skills for youth, helping them to obtain jobs in the public sector as administrations are formed to create incentives towards peace.",Jun-14,Jul-17,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,UK,DFID,DAI,Private sector,18571429,1000000,3571429,6857143,11428572,http://devtracker.dfid.gov.uk/,Significant,Significant,Not targeted,,,,0.4,,0.3,,0.3,,0,0,0,400000,0,300000,0,300000,0,0,0,0,1428571,0,1071429,0,1071429,0,0,0,0,2742857,0,2057143,0,2057143,0
Challenging Harmful Attitudes and Norms for Gender Equality and Empowerment in Somalia (CHANGES),"To challenge harmful social norms including FGM and CEFM and to increase women’s social and economic empowerment through interventions at the individual, household, community and societal levels.",Oct-16,Sep-20,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,Cross-cutting gender equality issues,UK,DFID ,Save the Children International,NGOs,7142857,0,610000,3142857,3752857,http://devtracker.dfid.gov.uk/,Principal,Significant,Not Targeted,,0.15,0.15,0.15,0.15,0.15,0.15,0.1,,0,0,0,0,0,0,0,0,0,0,91500,91500,91500,91500,91500,91500,61000,0,0,471429,471429,471429,471429,471429,471429,314286,0
Livestock Investment and Vocational Education Programme,Livestock Value Chain,Jul-15,Jun-18,3. Inclusive and Sustainable Economic Growth,Productive Sectors,,Denmark,Denmark,TERRA NUOVA CENTRO PER IL VOLONTARIATO ONLUS ASSOCIAZIONE,NGOs,671642,0,503800,2686567,3190367,,NA – not screened ,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503800,0,0,0,0,0,0,0,0,2686567
Swedish Somali Business Programme,the aim of Swedish Somali Business Programme is to increase the number of productive jobs in Somalia. The Somali diaspora is expected to play a strategic role in the programme and it will therefore include components to facilitate the participation of this group. ,Apr-16,Mar-20,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,Sweden,Sweden,Swedish Somalia Business Project,NGOs,3803571,0,567262,2418452,2985714,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567262,0,0,0,0,0,0,0,0,2418452
"Promotion of Livelihood through Improved Livestock Farming and Agriculture in the Saaxil region in “Somaliland”, Somalia",The livelihood and resilience of the supported population are improved.,Jul-16,Jun-19,3. Inclusive and Sustainable Economic Growth,Productive Sectors,,Germany,German Federal Government ,GIZ,Bilateral Agency,6000000,0,1111111,2222222,3333333,,Significant,Significant,Principal,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111,0,0,0,0,0,0,0,0,2222222,0
Socio-Economic Re-Integration of Youth at Risk,The overall development objective of the project is to promote sustainable reintegration of youth at risk including ex-combatants. The specific objective is to equip these youth with the needed social and livelihoods skills for sustainable reintegration into society and help enhance government’s capacity for tackling youth unemployment.,Jan-16,Dec-17,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,AfDB,AfDB,International Organization for Migration,UN,4166667,0,2083333,2083333,4166666,http://http://www.afdb.org/en/documents/document/somalia-socio-economic-reintegration-of-ex-combatants-and-youth-at-risk-project-appraisal-report-86127/,Significant,Significant,Principal,,,,,0.5,,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1041667,0,1041667,0,0,0,0,0,0,1041667,0,1041667,0,0
Livestock Holding Ground Project: Enhancing livestock exporting system with infrastructure and support services,Increased income from animals through improved services to the livestock production and export sector of  Somaliland,Jul-14,Dec-16,3. Inclusive and Sustainable Economic Growth,Productive Sectors,,Somaliland Development Fund,"DFID, DANIDA, Norway and the Netherlands",Ministry of Livestock,Government,4613555,1001893,1609650,1785040,4396583,http://http://www.somalilanddevelopmentfund.org,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,1001893,0,0,0,0,0,0,0,0,1609650,0,0,0,0,0,0,0,0,1785040,0
Strengthening Fisheries Management and Production Capacity Project,Increased production of fish by artisanal fishers through improved finishing facilities and better oversight by MoFMR in target areas,Sep-15,Aug-17,3. Inclusive and Sustainable Economic Growth,Productive Sectors,,Somaliland Development Fund,"DFID, DANIDA, Norway and the Netherlands",Ministry of Fisheries and Marine Resources,Government,3843600,10025,2336167,1497408,3843600,/http:/http://www.somalilanddevelopmentfund.org,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,10025,0,0,0,0,0,0,0,0,2336167,0,0,0,0,0,0,0,0,1497408,0
Providing Alternatives to Irregular Migration and Support to IDP from Somaliland through Employment Creation,"To provide long-term training and capital funds to develop light industries which will help improve the economic standing of IDPs families, lower the rate of unemployment and empower the youth in Somaliland.  The three outcomes are: improved economic integration and employment opportunities for IDPS and youth, improved service delivery of institutions, and enhance inclusion of marginalised groups",Jan-17,Dec-19,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,IOM,European Commission (11th European Development Fund),IOM (with SOS Kinderdorf International),UN,4444444,0,0,1179523,1179523,,Significant,Principal,Significant,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179523,0
Somali Investment Climate Reform Project,"The project’s overall objective is to catalyze investment climate reforms in Somalia. Specifically within one year of the closing of the project, it is targeted to achieve: ·       1-2 PPD platforms established to champion private sector development ·       5 DB/IC reforms implemented ·       USD 30 million mobilized as a result of project activities ·       Additional benefits include support to other WBG activities and projects, including SCORE",Jan-15,Dec-17,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,IFC,"IFC, AUSTRALIAN, DANISH",IFC,IFI,2850000,365000,515000,1175000,2055000,,Significant,Principal,Not Targeted,0.25,0.1,0.1,,0.1,0.1,,0.35,,91250,36500,36500,0,36500,36500,0,127750,0,128750,51500,51500,0,51500,51500,0,180250,0,293750,117500,117500,0,117500,117500,0,411250,0
"Income, livelihood and nutrition through a fishery-based economy","To contribute towards livelihoods, food security and improved nutrition for populations in SL and PL, strengthening resilience through artisanal, small-scale fisheries production, processing and trade. The project aims to build increased human and organisational capacity and to create additional employment opportunities for small-scale fishers, improved technical capacity, efficiency and financial sustainability in the artisanal fishery value chain. Also, the project aims to improve access for the fishers to local and regional markets. ",Jun-16,Feb-19,3. Inclusive and Sustainable Economic Growth,Productive Sectors,Fisheries,EU,EU,Fairfishing,NGOs,3332697,0,844766,1077331,1922097,,Not Targeted,Principal,Significant,,,,,,0.5,,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422383,0,422383,0,0,0,0,0,0,538666,0,538666,0
Vocational Skills Training for Economic Growth in Urban Areas,"1. Create economic growth through rehabilitation of key economic infrastructure , 2. Improve livelihoods and income generation for urban women , 3. Strengthen employment opportunities for unskilled, underskilled, unemployed and underemployed  through revitalized vocational training capacities and technical skills training ",Dec-16,Feb-18,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,UN-Habitat,Italy,UN-Habitat,UN,1061111,0,61111,1000000,1061111,,Significant,Significant,Significant,,0.3,,,0.7,,,,,0,0,0,0,0,0,0,0,0,0,18333,0,0,42778,0,0,0,0,0,300000,0,0,700000,0,0,0,0
Nugal Empowerment for better livelihood,"To contribute to improved livelihoods, enhanced social cohesion and increased protection of people dependent on the informal economy, in Puntland State of Somalia.",Jan-15,Dec-17,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,EU,EU,World vision,NGOs,2666667,670581,1027004,884973,2582558,,Significant,Significant,Significant,,,,,,1,,,,0,0,0,0,0,670581,0,0,0,0,0,0,0,0,1027004,0,0,0,0,0,0,0,0,884973,0,0,0
JPLG - 11 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Dec-17,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,Local Economic Development (LED),UN JPLG ,"SIDA, EC, DFID, DENMARK, SDC  and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,724267,741326,704557,2170150,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,0.061,0.045,0.061,0.017,0.056,0.342,0.068,0.35,,44180.3119,32592,44180,12313,40559,247699,49250,253494,0,45221,33360,45221,12603,41514,253534,50410,259464,0,42978,31705,42978,11977,39455,240959,47910,246595,0
Ensuring livelihood of agro-pastoralists by enhancing value chains in the livestock sector,"Securing Livelihoods of Agro-Pastoralists through Setting Up and Strengthening of the Livelihood Sector Value Chains, promoting Infrastructure and generating Income",Jun-16,Apr-19,3. Inclusive and Sustainable Economic Growth,Productive Sectors,,Germany,German Federal Government,Vétérinaires Sans Frontières – Germany,NGOs,1666667,0,444444,666667,1111111,,Significant,Significant,Not targeted,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444444,0,0,0,0,0,0,0,0,666667,0
JOINT PROGRAMME ON YOUTH EMPLOYMENT - 1,"Provide youth  employment opportunities through vocational training, enterprise training , creation and rehabilitation of infrastructure through labour intensive employment methods",Sep-15,Sep-18,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,"Infrastructure, Productive sector",ILO,"UN MPTF Donors: Denmark, EU, Italy, Norway, Sweden, Switzerland, UK, and PBF","ILO, FAO, UNDP UN-Habitat",UN,8900500,740000,1100000,660000,2500000,,Significant,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,740000,0,0,0,0,0,0,0,0,1100000,0,0,0,0,0,0,0,0,660000
"Growth, Enterprise, Employment, and Liveliood (GEEL)",Work with government and the private sector to improve an enabling environment for investment and generate more productive employment and increased income.,Sep-15,Sep-20,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,USA,USA,IRG,Private Sector,74000000,6249000,19100000,604000,25953000,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,6249000,0,0,0,0,0,0,0,0,19100000,0,0,0,0,0,0,0,0,604000
Stabilisation Plan - Mahadey,Address the economic and social drivers of conflict and violent extremism,,,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,SSF,Pooled,,Unclear / TBD,649023,0,0,430000,430000,,Significant,Significant,Principal,,,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430000,0,0,0,0,0
Community Stabilization through Socio-economic Integration of Vulnerable Youth,"Priority 1: Enhance the productivity of high priority sectors and related value chains, including through the rehabilitation and expansion of critical infrastructure for transport, market access, trade, and energy; and Priority 2: Expand opportunities for youth employment through job creation and skills development. Cross cutting: Gender and Bringing tangible results to people",Mar-16,Mar-17,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,Infrastructure,UNDP,0,,UN,0,0,1135790,364210,1500000,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135790,0,0,0,0,0,0,0,0,364210
JSS Youth centre ( Jubbaland),Address the economic and social drivers of conflict and violent extremism,,,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,Conflict resolution & mitigation,SSF,UK CSSF,,Unclear / TBD,700000,0,0,350000,350000,,Significant,Significant,Principal,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000,0,0,0,0
Enhancing Somali Livestock Trade (ESOLT),To enhance market access of Somali livestock and livestock products,Nov-14,May-17,3. Inclusive and Sustainable Economic Growth,Productive Sectors,Livestock,EU,EU,AUIBAR,NGOs,3333333,1007751,1992249,333333,3333333,,Not Targeted,Significant,Not Targeted,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,125968.8889,125969,125969,125969,125969,125969,125969,125969,0,249031,249031,249031,249031,249031,249031,249031,249031,0,41667,41667,41667,41667,41667,41667,41667,41667,0
